"","mu_ 0","mu_ 1","mu_ 2","mu_ 3","mu_ 4","mu_ 5","mu_ 6","mu_ 7","sig_ 0","sig_ 1","sig_ 2","sig_ 3","sig_ 4","sig_ 5","sig_ 6","sig_ 7","nlml","id"
"9436",3.2286,8.3036,13.977,19.84,25.581,31.024,36.12,40.903,0.00050826,0.025986,0.010922,0.00050826,0.00050824,0.00050825,0.00050826,0.034721,10.126,37
"9437",3.2281,8.4879,14.092,19.849,25.561,31.039,36.11,40.629,0.028804,0.043364,0.040073,0.027966,0.024784,0.026147,0.024879,0.0757,6.1134,37
"9438",3.2275,8.4912,14.099,19.857,25.563,31.019,36.044,40.483,0.13338,0.15571,0.15591,0.12475,0.11305,0.11491,0.10857,0.24633,8.8692,37
"9439",3.2276,8.4788,14.09,19.857,25.567,31.014,36.008,40.39,0.14375,0.16704,0.16732,0.13428,0.12179,0.12347,0.11349,0.25454,8.4323,37
"9440",3.2276,8.4708,14.083,19.855,25.569,31.014,35.997,40.353,0.13352,0.15759,0.1578,0.12529,0.11324,0.11531,0.10338,0.23695,7.2731,37
"9441",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,37
"9442",25,25,25.026,25.567,28.613,31.697,28.613,25.567,6.6988,6.6988,6.6987,6.6747,5.6412,0.14077,5.6412,6.6747,3.3209,37
"9443",25,25,25.025,25.553,28.526,31.538,28.526,25.553,6.5432,6.5432,6.5431,6.5198,5.5116,0.27268,5.5116,6.5198,3.5605,37
"9444",20.638,13.4,20.639,24.899,27.457,31.539,27.459,25.131,8.7302,0.31487,8.7302,9.4172,8.73,0.27271,8.73,9.4191,7.5871,37
"9445",8.9741,13.385,17.968,22.602,27.166,31.539,35.615,39.298,0.29448,0.29266,0.39132,0.41965,0.3467,0.25806,0.5343,1.1476,10.16,37
"9446",8.9571,13.407,17.971,22.568,27.115,31.53,35.737,39.667,0.22289,0.21166,0.24793,0.25773,0.23437,0.19545,0.22252,0.40927,10.271,37
"9447",8.9852,13.37,17.863,22.422,27.002,31.557,36.044,40.417,0.39475,0.36766,0.41369,0.43456,0.40535,0.34663,0.35492,0.55071,12.068,37
"9448",8.9885,13.359,17.837,22.389,26.979,31.571,36.13,40.62,0.37166,0.34496,0.38491,0.40474,0.3801,0.32568,0.31945,0.47605,12.244,37
"9449",8.9852,13.361,17.837,22.385,26.972,31.571,36.148,40.674,0.33469,0.31004,0.34515,0.36338,0.34233,0.29301,0.2801,0.40879,11.993,37
"9450",8.9829,13.373,17.866,22.422,27,31.557,36.052,40.446,0.3905,0.36179,0.40209,0.42319,0.3993,0.34173,0.32116,0.46176,13.042,37
"9451",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,37
"9452",25.016,25.351,27.235,29.143,27.235,25.351,25.016,25,4.1451,4.1303,3.4913,0.14169,3.4913,4.1303,4.1451,4.1452,2.8409,37
"9453",25.016,25.348,27.217,29.11,27.217,25.348,25.016,25,4.11,4.0953,3.461,0.06108,3.461,4.0953,4.11,4.1101,1.5996,37
"9454",25,25,25,29.109,23.037,25,25,25,3.2209,3.2209,3.2209,0.061078,0.070524,3.2209,3.2209,3.2209,3.9443,37
"9455",25,39.911,25,29.11,23.037,25,25,25,9.0016,0.07053,9.0016,0.061081,0.07053,9.0016,9.0016,9.0016,9.6162,37
"9456",25,39.901,25,29.11,23.037,25,25,25,8.9964,0.044741,8.9964,0.044741,0.051662,8.9964,8.9964,8.9964,7.7591,37
"9457",25,39.905,25,29.11,23.037,25,25,25,8.9985,0.035007,8.9985,0.037131,0.042875,8.9985,8.9985,8.9985,5.5125,37
"9458",25,39.948,25,29.11,23.037,25,25,25,9.0226,0.088317,9.0226,0.096746,0.11171,9.0226,9.0226,9.0226,7.4178,37
"9459",25,39.902,25,29.11,23.037,25,25,25,8.9974,0.12774,8.9974,0.14282,0.16491,8.9974,8.9974,8.9974,8.349,37
"9460",25,39.947,25,29.109,23.037,25,25,25,9.0232,0.15937,9.0232,0.1807,0.20865,9.0232,9.0232,9.0232,9.1305,37
"9461",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,37
"9462",25.015,25.321,27.047,28.795,27.047,25.321,25.015,25,3.7976,3.784,3.1987,0.14132,3.1987,3.784,3.7976,3.7977,2.7533,37
