"","mu_ 0","mu_ 1","mu_ 2","mu_ 3","mu_ 4","mu_ 5","mu_ 6","mu_ 7","sig_ 0","sig_ 1","sig_ 2","sig_ 3","sig_ 4","sig_ 5","sig_ 6","sig_ 7","nlml","id"
"8961",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,35
"8962",24.57,24.141,23.711,23.281,22.852,22.422,21.992,21.563,16.837,16.91,17.03,17.197,17.409,17.665,17.962,18.299,4.3431,35
"8963",24.334,23.668,23.002,22.336,21.67,21.004,20.338,19.673,11.765,11.85,11.991,12.185,12.429,12.722,13.06,13.439,8.0204,35
"8964",24.052,23.103,22.155,21.207,20.258,19.31,18.361,17.413,8.6561,8.7456,8.8926,9.0946,9.3478,9.6482,9.9917,10.374,11.258,35
"8965",24.433,23.865,23.298,22.731,22.164,21.596,21.029,20.462,10.451,10.534,10.672,10.861,11.099,11.384,11.712,12.079,15.274,35
"8966",24.209,23.417,22.626,21.835,21.044,20.252,19.461,18.67,9.3865,9.4596,9.5804,9.7469,9.9569,10.208,10.496,10.82,18.709,35
"8967",23.917,22.834,21.751,20.668,19.584,18.501,17.418,16.335,8.81,8.8706,8.9708,9.1091,9.2839,9.4932,9.7347,10.006,22.335,35
"8968",23.858,22.715,21.573,20.431,19.289,18.146,17.004,15.862,8.0377,8.0923,8.1824,8.3068,8.4642,8.6527,8.8702,9.1148,25.418,35
"8969",24.129,23.258,22.388,21.517,20.646,19.775,18.905,18.034,9.3209,9.3763,9.468,9.5948,9.7555,9.9483,10.171,10.423,29.777,35
"8970",24.319,23.637,22.956,22.274,21.593,20.911,20.23,19.549,10.004,10.059,10.15,10.275,10.434,10.625,10.846,11.096,33.899,35
"8971",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,35
"8972",24.636,24.272,23.908,23.544,23.18,22.816,22.452,22.088,20.492,20.556,20.661,20.808,20.994,21.22,21.484,21.785,4.509,35
"8973",24.395,23.789,23.184,22.579,21.973,21.368,20.763,20.157,13.967,14.045,14.174,14.352,14.578,14.85,15.165,15.52,8.3137,35
"8974",24.446,23.893,23.339,22.785,22.232,21.678,21.124,20.571,13.362,13.44,13.569,13.748,13.974,14.246,14.561,14.916,12.21,35
"8975",24.552,24.104,23.657,23.209,22.761,22.313,21.866,21.418,14.259,14.335,14.461,14.634,14.855,15.12,15.427,15.774,16.422,35
"8976",24.626,24.252,23.878,23.504,23.131,22.757,22.383,22.009,14.708,14.782,14.905,15.076,15.293,15.554,15.857,16.199,20.62,35
"8977",24.685,24.37,24.055,23.74,23.425,23.11,22.795,22.479,14.905,14.979,15.101,15.27,15.485,15.744,16.044,16.384,24.785,35
"8978",24.742,24.484,24.226,23.968,23.71,23.453,23.195,22.937,15.087,15.16,15.281,15.449,15.662,15.919,16.217,16.554,28.972,35
"8979",24.793,24.586,24.38,24.173,23.966,23.759,23.552,23.345,15.15,15.222,15.343,15.51,15.722,15.977,16.274,16.61,33.125,35
"8980",24.842,24.685,24.527,24.37,24.212,24.055,23.897,23.739,15.175,15.248,15.368,15.534,15.745,16,16.296,16.63,37.267,35
"8981",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,35
"8982",25.08,25.161,25.241,25.322,25.402,25.483,25.563,25.643,12.433,12.552,12.749,13.018,13.358,13.761,14.222,14.737,3.9393,35
"8983",25.16,25.32,25.48,25.64,25.8,25.96,26.12,26.28,12.5,12.618,12.812,13.079,13.414,13.813,14.27,14.78,7.8958,35
"8984",25.24,25.48,25.72,25.961,26.201,26.441,26.681,26.921,12.492,12.609,12.802,13.067,13.401,13.798,14.252,14.76,11.851,35
"8985",25.32,25.641,25.961,26.281,26.601,26.922,27.242,27.562,12.488,12.605,12.796,13.06,13.392,13.787,14.239,14.743,15.814,35
"8986",25.403,25.807,26.21,26.614,27.017,27.421,27.824,28.227,12.392,12.509,12.701,12.965,13.297,13.692,14.144,14.648,19.746,35
"8987",25.485,25.971,26.456,26.941,27.426,27.912,28.397,28.882,12.362,12.478,12.669,12.932,13.263,13.656,14.106,14.609,23.7,35
"8988",25.571,26.142,26.713,27.284,27.855,28.426,28.997,29.568,12.257,12.374,12.565,12.828,13.159,13.553,14.003,14.506,27.617,35
"8989",25.659,26.318,26.976,27.635,28.294,28.953,29.611,30.27,12.142,12.259,12.451,12.714,13.046,13.439,13.891,14.393,31.517,35
"8990",25.745,26.49,27.234,27.979,28.724,29.469,30.214,30.959,12.082,12.198,12.39,12.653,12.983,13.376,13.826,14.328,35.445,35
"8991",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,35
"8992",24.518,24.035,23.553,23.071,22.588,22.106,21.624,21.142,14.557,14.636,14.766,14.947,15.176,15.452,15.771,16.132,4.2276,35
"8993",24.668,24.335,24.003,23.67,23.338,23.006,22.673,22.341,16.808,16.88,17,17.167,17.378,17.634,17.931,18.267,8.544,35
"8994",24.722,24.444,24.166,23.888,23.611,23.333,23.055,22.777,17.005,17.077,17.195,17.36,17.57,17.823,18.117,18.451,12.802,35
"8995",24.771,24.543,24.314,24.086,23.857,23.629,23.4,23.172,17.071,17.142,17.26,17.424,17.633,17.884,18.177,18.51,17.056,35
"8996",24.819,24.638,24.457,24.276,24.095,23.913,23.732,23.551,17.081,17.152,17.27,17.434,17.642,17.893,18.185,18.516,21.304,35
"8997",24.868,24.737,24.605,24.474,24.342,24.21,24.079,23.947,17.166,17.237,17.354,17.516,17.723,17.973,18.263,18.593,25.582,35
"8998",24.915,24.83,24.745,24.66,24.574,24.489,24.404,24.319,17.151,17.222,17.339,17.501,17.707,17.956,18.246,18.575,29.832,35
"8999",24.963,24.926,24.889,24.852,24.815,24.778,24.74,24.703,17.197,17.267,17.384,17.545,17.751,17.999,18.287,18.615,34.11,35
"9000",25.009,25.018,25.026,25.035,25.044,25.053,25.062,25.071,17.16,17.23,17.346,17.508,17.713,17.961,18.249,18.576,38.353,35
"9001",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,36
"9002",25.046,25.093,25.139,25.186,25.232,25.279,25.325,25.372,21.519,21.589,21.704,21.864,22.069,22.316,22.605,22.933,4.4879,36
"9003",25.092,25.185,25.277,25.37,25.462,25.554,25.647,25.739,21.641,21.71,21.824,21.983,22.186,22.432,22.718,23.045,8.9892,36
"9004",25.19,25.379,25.569,25.758,25.948,26.138,26.327,26.517,19.673,19.748,19.872,20.045,20.265,20.53,20.84,21.191,13.209,36
"9005",25.323,25.647,25.97,26.294,26.617,26.94,27.264,27.587,17.541,17.622,17.757,17.944,18.181,18.468,18.8,19.177,17.181,36
"9006",25.426,25.853,26.279,26.705,27.132,27.558,27.984,28.411,15.665,15.75,15.89,16.085,16.331,16.627,16.971,17.358,20.937,36
"9007",25.426,25.852,26.279,26.705,27.131,27.557,27.984,28.41,14.454,14.536,14.671,14.858,15.095,15.379,15.708,16.08,24.632,36
"9008",25.451,25.903,26.354,26.806,27.257,27.709,28.16,28.611,15.493,15.571,15.7,15.88,16.107,16.38,16.698,17.056,29.216,36
"9009",25.482,25.965,26.447,26.93,27.412,27.895,28.377,28.859,16.263,16.339,16.464,16.637,16.857,17.123,17.431,17.78,33.776,36
"9010",25.518,26.035,26.553,27.07,27.588,28.105,28.623,29.141,16.827,16.901,17.023,17.192,17.407,17.666,17.968,18.31,38.307,36
"9011",25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,36
"9012",24.95,24.9,24.85,24.8,24.75,24.7,24.65,24.6,20.002,20.077,20.201,20.373,20.592,20.857,21.165,21.516,4.4148,36
"9013",24.839,24.679,24.518,24.357,24.197,24.036,23.876,23.715,17.397,17.481,17.621,17.816,18.062,18.36,18.705,19.095,8.5601,36
"9014",24.677,24.354,24.03,23.707,23.384,23.061,22.738,22.415,14.79,14.885,15.042,15.259,15.534,15.863,16.244,16.672,12.385,36
"9015",25.217,25.433,25.65,25.866,26.083,26.299,26.516,26.732,16.371,16.442,16.559,16.722,16.929,17.179,17.469,17.798,16.891,36
"9016",25.577,26.154,26.73,27.307,27.884,28.461,29.037,29.614,16.082,16.142,16.242,16.38,16.556,16.769,17.017,17.299,21.185,36
"9017",25.874,26.748,27.622,28.495,29.369,30.243,31.117,31.991,15.084,15.136,15.223,15.343,15.496,15.681,15.896,16.142,25.255,36
"9018",26.125,27.251,28.376,29.501,30.626,31.752,32.877,34.002,13.966,14.011,14.085,14.189,14.321,14.481,14.668,14.881,29.159,36
"9019",26.343,27.687,29.03,30.373,31.717,33.06,34.403,35.747,12.987,13.025,13.089,13.179,13.293,13.431,13.592,13.775,32.971,36
