,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,std_0,std_1,std_2,std_3,std_4,std_5,std_6,std_7,nmll,round,trial,id
17250,25.827,26.655,27.482,28.31,29.137,29.964,30.792,31.619,15.565,15.614,15.695,15.808,15.951,16.125,16.328,16.56,37.902,15,10,58
17251,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,16,1,58
17252,24.909,24.818,24.727,24.635,24.544,24.453,24.362,24.271,10.972,11.107,11.328,11.63,12.008,12.453,12.961,13.522,3.8143,16,2,58
17253,25.471,25.942,26.413,26.884,27.355,27.827,28.298,28.769,13.189,13.277,13.422,13.623,13.877,14.181,14.533,14.928,8.118,16,3,58
17254,25.961,26.923,27.884,28.845,29.806,30.768,31.729,32.69,11.388,11.462,11.585,11.755,11.97,12.227,12.524,12.859,12.078,16,4,58
17255,26.467,27.935,29.402,30.87,32.337,33.805,35.272,36.74,9.0482,9.1069,9.2039,9.338,9.5076,9.7108,9.9457,10.21,15.749,16,5,58
17256,26.812,28.624,30.436,32.248,34.061,35.873,37.685,39.497,7.3166,7.3601,7.4321,7.5318,7.658,7.8094,7.9848,8.1824,19.057,16,6,58
17257,26.994,28.989,30.983,32.977,34.972,36.966,38.96,40.955,6.2885,6.3214,6.3758,6.4511,6.5467,6.6617,6.7951,6.9458,22.083,16,7,58
17258,27.104,29.207,31.311,33.415,35.518,37.622,39.726,41.829,5.6306,5.6564,5.699,5.7581,5.8332,5.9238,6.029,6.1482,24.948,16,8,58
17259,27.177,29.353,31.53,33.706,35.883,38.059,40.236,42.412,5.1623,5.1831,5.2176,5.2655,5.3264,5.4,5.4856,5.5828,27.694,16,9,58
17260,27.227,29.454,31.68,33.907,36.134,38.361,40.588,42.814,4.8023,4.8196,4.8482,4.8879,4.9386,4.9998,5.0712,5.1523,30.336,16,10,58
17261,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,17,1,58
17262,25.311,25.623,25.934,26.245,26.557,26.868,27.179,27.491,18.337,18.411,18.533,18.703,18.919,19.18,19.483,19.828,4.3775,17,2,58
17263,25.712,26.424,27.136,27.848,28.56,29.272,29.983,30.695,15.918,15.991,16.112,16.28,16.494,16.752,17.051,17.39,8.6376,17,3,58
17264,26.454,27.907,29.361,30.815,32.268,33.722,35.176,36.629,11.432,11.504,11.622,11.785,11.992,12.24,12.527,12.85,12.692,17,4,58
17265,28.198,31.396,34.594,37.792,40.99,44.189,47.387,50.585,0.093715,0.09468,0.096266,0.098443,0.10117,0.10441,0.10812,0.11224,5.6618,17,5,58
17266,28.186,31.372,34.559,37.745,40.931,44.117,47.303,50.49,0.17522,0.17667,0.17905,0.18234,0.18648,0.19142,0.19709,0.20344,7.2895,17,6,58
