,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,std_0,std_1,std_2,std_3,std_4,std_5,std_6,std_7,nmll,round,trial,id
5193,25,25,37.163,11.924,25,25,25,25,12.629,12.629,0.14212,0.14212,12.629,12.629,12.629,12.629,7.9098,10,3,18
5194,25,16.987,37.163,11.924,25,25,25,25,11.302,0.14212,0.14212,0.14212,11.302,11.302,11.302,11.302,11.532,10,4,18
5195,42.267,16.987,37.164,11.924,25,25,25,25,0.14212,0.14212,0.14212,0.14212,13.051,13.051,13.051,13.051,15.951,10,5,18
5196,42.333,16.987,37.164,11.924,25,25,25,25,0.11423,0.1319,0.1319,0.1319,13.073,13.073,13.073,13.073,15.351,10,6,18
5197,42.452,16.989,37.161,11.927,25,25,25,25,0.25085,0.30721,0.30721,0.30721,13.114,13.114,13.114,13.114,16.304,10,7,18
5198,42.375,16.989,37.16,11.927,25,25,25,25,0.26228,0.33174,0.33174,0.33174,13.088,13.088,13.088,13.088,16.563,10,8,18
5199,42.471,16.991,37.158,11.93,25,25,25,25,0.3247,0.41914,0.41914,0.41914,13.121,13.121,13.121,13.121,17.589,10,9,18
5200,42.524,16.991,37.158,11.93,25,25,25,25,0.31876,0.4173,0.4173,0.4173,13.139,13.139,13.139,13.139,17.866,10,10,18
5201,25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,11,1,18
5202,25,25.001,25.079,26.732,36.034,45.455,36.034,26.732,20.456,20.456,20.456,20.382,17.225,0.14226,17.225,20.382,4.4372,11,2,18
5203,25,25,25,25,25,45.455,7.3256,25,19.116,19.116,19.116,19.116,19.116,0.14226,0.14226,19.116,8.7389,11,3,18
5204,25,25,25,25,25,45.314,7.3271,25,19.041,19.041,19.041,19.041,19.041,0.24346,0.28112,19.041,8.8811,11,4,18
5205,25,25,25,25,25,45.464,7.3294,25,19.122,19.122,19.122,19.122,19.122,0.34218,0.41907,19.122,9.6942,11,5,18
