mu0,mu1,mu2,mu3,mu4,mu5,mu6,mu7,sigma0,sigma1,sigma2,sigma3,sigma4,sigma5,sigma6,sigma7,nlml,id
42.974,38.933,33.708,27.769,21.519,15.221,8.9882,2.8399,0.088773,0.00037048,0.00037048,0.0059809,0.00037048,0.00037048,0.014209,0.00037048,12.505,1
45.833,38.933,33.708,28.044,21.519,15.221,9.1914,2.8399,0.00037005,0.00037005,0.00037005,0.12661,0.00037005,0.00037005,0.40135,0.00037005,20.276,1
45.712,39.65,33.556,27.439,21.309,15.177,9.0517,2.9432,0.47951,0.44866,0.45795,0.47087,0.47219,0.46696,0.48004,0.55009,15.408,1
45.763,39.674,33.562,27.437,21.304,15.173,9.0493,2.9421,0.41706,0.40089,0.41405,0.42658,0.42752,0.42282,0.43513,0.49835,15.611,1
45.684,39.63,33.545,27.438,21.315,15.186,9.0572,2.9373,0.39903,0.38989,0.40583,0.41878,0.41942,0.41446,0.42662,0.48919,16.022,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
26.32,33.408,40.588,33.408,26.32,25.06,25.001,25,15.532,13.126,0.13788,13.126,15.532,15.588,15.588,15.588,4.1655,1
26.335,33.503,40.764,33.503,26.335,25.061,25.001,25,15.71,13.277,0.30724,13.277,15.71,15.766,15.767,15.767,4.5594,1
26.315,33.381,40.537,33.381,26.315,25.06,25.001,25,15.489,13.092,0.49313,13.092,15.489,15.545,15.545,15.545,5.848,1
26.321,33.42,40.61,33.42,26.321,25.06,25.001,25,15.559,13.151,0.42062,13.151,15.559,15.615,15.615,15.615,6.1842,1
26.322,33.425,40.62,33.425,26.322,25.06,25.001,25,15.568,13.157,0.35759,13.157,15.568,15.624,15.624,15.624,6.1699,1
26.322,33.423,40.615,33.423,26.322,25.06,25.001,25,15.562,13.152,0.31562,13.152,15.562,15.618,15.618,15.618,6.0063,1
26.325,33.44,40.647,33.44,26.325,25.06,25.001,25,15.594,13.179,0.29914,13.179,15.594,15.65,15.65,15.65,6.0142,1
26.323,33.432,40.633,33.432,26.323,25.06,25.001,25,15.579,13.166,0.27836,13.166,15.579,15.635,15.635,15.635,5.7766,1
26.323,33.429,40.627,33.429,26.323,25.06,25.001,25,15.573,13.161,0.25949,13.161,15.573,15.629,15.629,15.629,5.4044,1
25,25,25,25,25,25,25,25,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,2.2361,1,1
25.052,26.144,32.289,38.513,32.289,26.144,25.052,25.001,13.513,13.465,11.379,0.13559,11.379,13.465,13.513,13.513,4.0226,1
25,25,25,38.512,18.105,25,25,25,10.728,10.728,10.728,0.13561,0.13561,10.728,10.728,10.728,7.5835,1
25,25,43.524,38.513,18.105,25,25,25,13.824,13.824,0.13561,0.13561,0.13561,13.824,13.824,13.824,12.136,1
25,22.457,43.524,38.513,18.105,25,25,25,12.04,0.13561,0.13561,0.13561,0.13561,12.04,12.04,12.04,15.629,1
25,22.46,43.209,38.496,18.113,25,25,25,11.927,0.60757,0.52629,0.60757,0.60757,11.927,11.927,11.927,16.512,1
